date,product_id,warehouse,stock_level,daily_demand,units_ordered,lead_time_days,unit_cost,days_of_supply,stockout_risk
2024-05-13,PROD0001,WH-NORTH,632,462,252,3,81.18,1.4,1
2024-05-14,PROD0001,WH-NORTH,640,289,76,11,46.37,2.2,1
2024-05-15,PROD0001,WH-NORTH,364,400,279,8,30.0,0.9,1
2024-05-16,PROD0001,WH-SOUTH,451,389,239,2,50.83,1.2,1
2024-05-17,PROD0001,WH-EAST,1173,365,0,6,17.78,3.2,0
2024-05-18,PROD0001,WH-NORTH,485,354,193,6,108.2,1.4,1
2024-05-19,PROD0001,WH-NORTH,255,483,398,14,191.18,0.5,1
2024-05-20,PROD0001,WH-NORTH,820,595,322,4,105.52,1.4,1
2024-05-21,PROD0001,WH-SOUTH,1109,481,112,2,32.24,2.3,1
2024-05-22,PROD0001,WH-NORTH,481,317,157,3,9.69,1.5,1
2024-05-23,PROD0001,WH-NORTH,303,342,241,12,69.07,0.9,1
2024-05-24,PROD0001,WH-NORTH,911,347,44,14,174.62,2.6,1
2024-05-25,PROD0001,WH-SOUTH,706,293,58,9,82.58,2.4,1
2024-05-26,PROD0001,WH-SOUTH,653,428,211,5,70.82,1.5,1
2024-05-27,PROD0001,WH-NORTH,500,340,174,8,84.23,1.5,1
2024-05-28,PROD0001,WH-NORTH,313,584,480,11,47.35,0.5,1
2024-05-29,PROD0001,WH-SOUTH,335,428,317,13,14.95,0.8,1
2024-05-30,PROD0001,WH-NORTH,347,275,160,12,24.15,1.3,1
2024-05-31,PROD0001,WH-NORTH,433,525,381,8,35.73,0.8,1
2024-06-01,PROD0001,WH-EAST,839,307,28,12,177.64,2.7,1
2024-06-02,PROD0001,WH-NORTH,1037,237,0,13,177.49,4.4,0
2024-06-03,PROD0001,WH-EAST,784,405,144,11,173.59,1.9,1
2024-06-04,PROD0001,WH-SOUTH,910,443,140,7,121.89,2.1,1
2024-06-05,PROD0001,WH-SOUTH,786,590,328,9,135.25,1.3,1
2024-06-06,PROD0001,WH-NORTH,390,467,337,8,188.38,0.8,1
2024-06-07,PROD0001,WH-EAST,396,445,313,8,171.99,0.9,1
2024-06-08,PROD0001,WH-SOUTH,0,397,397,6,41.97,0.0,1
2024-06-09,PROD0001,WH-SOUTH,462,338,184,6,53.94,1.4,1
2024-06-10,PROD0001,WH-EAST,782,470,210,3,54.31,1.7,1
2024-06-11,PROD0001,WH-EAST,365,288,167,2,128.15,1.3,1
2024-06-12,PROD0001,WH-SOUTH,1147,364,0,13,102.54,3.2,0
2024-06-13,PROD0001,WH-NORTH,532,420,243,12,103.92,1.3,1
2024-06-14,PROD0001,WH-NORTH,764,475,221,2,122.31,1.6,1
2024-06-15,PROD0001,WH-SOUTH,428,350,208,5,12.7,1.2,1
2024-06-16,PROD0001,WH-EAST,266,433,345,4,71.71,0.6,1
2024-06-17,PROD0001,WH-SOUTH,954,416,98,9,177.52,2.3,1
2024-06-18,PROD0001,WH-EAST,628,393,184,12,65.27,1.6,1
2024-06-19,PROD0001,WH-SOUTH,0,487,487,6,161.67,0.0,1
2024-06-20,PROD0001,WH-SOUTH,934,372,61,12,158.85,2.5,1
2024-06-21,PROD0001,WH-EAST,984,365,37,6,187.96,2.7,1
2024-06-22,PROD0001,WH-SOUTH,972,419,95,3,95.78,2.3,1
2024-06-23,PROD0001,WH-NORTH,712,336,99,10,76.46,2.1,1
2024-06-24,PROD0001,WH-SOUTH,717,446,207,7,142.21,1.6,1
2024-06-25,PROD0001,WH-SOUTH,785,256,0,7,158.87,3.1,0
2024-06-26,PROD0001,WH-NORTH,861,553,266,13,47.69,1.6,1
2024-06-27,PROD0001,WH-EAST,967,421,99,8,148.67,2.3,1
2024-06-28,PROD0001,WH-NORTH,295,293,195,4,68.58,1.0,1
2024-01-01,PROD0002,WH-EAST,493,411,247,12,76.81,1.2,1
2024-01-02,PROD0002,WH-SOUTH,350,406,290,2,58.24,0.9,1
2024-01-03,PROD0002,WH-SOUTH,513,332,161,5,16.2,1.5,1
2024-01-04,PROD0002,WH-SOUTH,789,353,90,4,39.89,2.2,1
2024-01-05,PROD0002,WH-EAST,805,358,90,14,44.06,2.2,1
2024-01-06,PROD0002,WH-EAST,1158,392,6,4,37.41,3.0,1
2024-01-07,PROD0002,WH-EAST,888,387,91,12,135.07,2.3,1
2024-01-08,PROD0002,WH-NORTH,1163,524,137,9,162.03,2.2,1
2024-01-09,PROD0002,WH-SOUTH,929,380,71,5,122.67,2.4,1
2024-01-10,PROD0002,WH-EAST,1201,507,107,6,151.55,2.4,1
2024-01-11,PROD0002,WH-NORTH,639,378,165,2,190.42,1.7,1
2024-01-12,PROD0002,WH-SOUTH,533,378,201,8,123.48,1.4,1
2024-01-13,PROD0002,WH-EAST,941,442,129,2,137.6,2.1,1
2024-01-14,PROD0002,WH-EAST,761,357,104,13,74.42,2.1,1
2024-01-15,PROD0002,WH-SOUTH,984,394,66,11,40.25,2.5,1
2024-01-16,PROD0002,WH-SOUTH,817,444,172,8,115.29,1.8,1
2024-01-17,PROD0002,WH-NORTH,1113,336,0,7,92.35,3.3,0
2024-01-18,PROD0002,WH-SOUTH,881,462,169,10,164.91,1.9,1
2024-01-19,PROD0002,WH-NORTH,854,333,49,13,137.99,2.6,1
2024-01-20,PROD0002,WH-EAST,924,369,61,6,175.67,2.5,1
2024-01-21,PROD0002,WH-NORTH,1248,435,19,2,73.92,2.9,1
2024-01-22,PROD0002,WH-EAST,984,489,161,2,196.16,2.0,1
2024-01-23,PROD0002,WH-EAST,1134,396,18,10,80.29,2.9,1
2024-01-24,PROD0002,WH-EAST,765,416,161,4,58.01,1.8,1
2024-01-25,PROD0002,WH-SOUTH,477,321,162,2,152.01,1.5,1
2024-01-26,PROD0002,WH-SOUTH,901,359,59,3,106.43,2.5,1
2024-01-27,PROD0002,WH-SOUTH,664,287,66,14,21.9,2.3,1
2024-01-28,PROD0002,WH-NORTH,1113,390,19,13,132.88,2.9,1
2024-01-29,PROD0002,WH-EAST,1132,365,0,2,28.65,3.1,0
2024-01-30,PROD0002,WH-NORTH,709,375,139,12,167.35,1.9,1
2024-01-31,PROD0002,WH-SOUTH,1185,397,2,11,194.04,3.0,1
2024-02-01,PROD0002,WH-EAST,0,427,427,4,36.19,0.0,1
2024-02-02,PROD0002,WH-NORTH,1059,648,295,3,102.73,1.6,1
2024-02-03,PROD0002,WH-NORTH,876,409,117,7,34.62,2.1,1
2024-02-04,PROD0002,WH-SOUTH,289,439,343,12,153.17,0.7,1
2024-02-05,PROD0002,WH-NORTH,1026,430,88,3,37.75,2.4,1
2024-02-06,PROD0002,WH-EAST,260,454,368,11,183.45,0.6,1
2024-02-07,PROD0002,WH-EAST,331,401,291,2,180.03,0.8,1
2024-02-08,PROD0002,WH-SOUTH,1217,426,21,9,128.94,2.9,1
2024-02-09,PROD0002,WH-NORTH,0,334,334,13,25.51,0.0,1
2024-02-10,PROD0002,WH-EAST,828,489,213,3,190.49,1.7,1
2024-02-11,PROD0002,WH-NORTH,1229,368,0,6,170.74,3.3,0
2024-02-12,PROD0002,WH-NORTH,773,478,221,14,173.45,1.6,1
2024-02-13,PROD0002,WH-SOUTH,607,505,303,13,101.1,1.2,1
2024-02-14,PROD0002,WH-SOUTH,673,371,147,12,16.42,1.8,1
2024-02-15,PROD0002,WH-EAST,223,400,326,4,181.69,0.6,1
2024-02-16,PROD0002,WH-EAST,1106,318,0,5,133.07,3.5,0
2024-02-17,PROD0002,WH-EAST,1124,412,38,5,60.19,2.7,1
2024-02-18,PROD0002,WH-NORTH,968,321,0,5,37.71,3.0,0
2024-02-19,PROD0002,WH-EAST,238,330,251,5,39.7,0.7,1
2024-02-20,PROD0002,WH-NORTH,951,511,194,12,148.53,1.9,1
2024-02-21,PROD0002,WH-EAST,619,345,139,2,177.39,1.8,1
2024-02-22,PROD0002,WH-SOUTH,305,532,431,9,114.98,0.6,1
2024-02-23,PROD0002,WH-NORTH,1223,416,9,8,101.35,2.9,1
2024-02-24,PROD0002,WH-NORTH,240,373,293,8,91.96,0.6,1
2024-02-25,PROD0002,WH-EAST,1258,541,122,10,85.23,2.3,1
2024-02-26,PROD0002,WH-NORTH,355,522,404,7,23.69,0.7,1
2024-02-27,PROD0002,WH-SOUTH,483,455,294,5,157.04,1.1,1
2024-02-28,PROD0002,WH-EAST,392,503,373,6,21.32,0.8,1
2024-02-29,PROD0002,WH-NORTH,570,346,156,6,189.36,1.6,1
2024-03-01,PROD0002,WH-NORTH,224,243,169,11,106.77,0.9,1
2024-03-02,PROD0002,WH-SOUTH,575,429,238,2,107.89,1.3,1
2024-03-03,PROD0002,WH-SOUTH,743,394,147,8,186.17,1.9,1
2024-03-04,PROD0002,WH-SOUTH,738,365,119,11,100.97,2.0,1
2024-03-05,PROD0002,WH-EAST,989,444,115,5,199.26,2.2,1
2024-03-06,PROD0002,WH-SOUTH,911,374,71,10,50.3,2.4,1
2024-03-07,PROD0002,WH-NORTH,559,355,169,9,181.04,1.6,1
2024-03-08,PROD0002,WH-EAST,842,336,56,4,111.96,2.5,1
2024-03-09,PROD0002,WH-EAST,810,457,187,10,182.02,1.8,1
2024-03-10,PROD0002,WH-NORTH,307,478,376,6,10.4,0.6,1
2024-03-11,PROD0002,WH-EAST,1161,482,95,2,19.23,2.4,1
2024-03-12,PROD0002,WH-SOUTH,243,406,325,7,17.52,0.6,1
2024-03-13,PROD0002,WH-SOUTH,926,407,99,9,161.38,2.3,1
2024-03-14,PROD0002,WH-SOUTH,920,405,99,14,172.27,2.3,1
2024-03-15,PROD0002,WH-EAST,812,331,61,8,190.67,2.5,1
2024-03-16,PROD0002,WH-SOUTH,1159,398,12,2,92.33,2.9,1
2024-03-17,PROD0002,WH-EAST,0,397,397,6,110.89,0.0,1
2024-03-18,PROD0002,WH-EAST,1253,479,62,2,183.21,2.6,1
2024-03-19,PROD0002,WH-SOUTH,317,454,349,7,141.25,0.7,1
2024-03-20,PROD0002,WH-NORTH,704,293,59,11,172.8,2.4,1
2024-03-21,PROD0002,WH-EAST,349,424,308,2,23.8,0.8,1
2024-03-22,PROD0002,WH-SOUTH,312,471,367,3,186.74,0.7,1
2024-03-23,PROD0002,WH-NORTH,724,435,194,4,177.44,1.7,1
2024-03-24,PROD0002,WH-NORTH,478,369,210,6,93.16,1.3,1
2024-03-25,PROD0002,WH-EAST,1138,330,0,4,67.91,3.4,0
2024-03-26,PROD0002,WH-EAST,866,441,153,12,139.5,2.0,1
2024-03-27,PROD0002,WH-EAST,776,468,210,9,157.85,1.7,1
2024-03-28,PROD0002,WH-NORTH,397,359,227,11,123.5,1.1,1
2024-03-29,PROD0002,WH-EAST,1218,500,94,7,141.61,2.4,1
2024-03-30,PROD0002,WH-NORTH,385,516,388,11,52.32,0.7,1
2024-03-31,PROD0002,WH-NORTH,745,349,101,13,123.25,2.1,1
2024-04-01,PROD0002,WH-NORTH,515,281,110,12,93.71,1.8,1
2024-04-02,PROD0002,WH-EAST,832,398,121,14,81.62,2.1,1
2024-04-03,PROD0002,WH-EAST,466,404,249,10,86.18,1.2,1
2024-04-04,PROD0002,WH-NORTH,693,383,152,9,53.54,1.8,1
2024-04-05,PROD0002,WH-NORTH,1092,591,227,8,128.0,1.8,1
2024-04-06,PROD0002,WH-SOUTH,271,395,305,5,52.94,0.7,1
2024-04-07,PROD0002,WH-SOUTH,944,431,117,8,139.49,2.2,1
2024-04-08,PROD0002,WH-SOUTH,482,382,222,4,194.6,1.3,1
2024-04-09,PROD0002,WH-SOUTH,1059,349,0,4,177.94,3.0,0
2024-04-10,PROD0002,WH-SOUTH,418,467,328,6,56.94,0.9,1
2024-04-11,PROD0002,WH-SOUTH,996,336,4,5,57.82,3.0,1
2024-04-12,PROD0002,WH-NORTH,519,526,353,3,96.1,1.0,1
2024-04-13,PROD0002,WH-SOUTH,522,413,239,12,61.32,1.3,1
2024-04-14,PROD0002,WH-EAST,1023,534,193,10,145.13,1.9,1
2024-04-15,PROD0002,WH-NORTH,530,474,298,7,19.55,1.1,1
2024-04-16,PROD0002,WH-SOUTH,873,531,240,6,151.72,1.6,1
2024-04-17,PROD0002,WH-NORTH,478,391,232,11,121.27,1.2,1
2024-04-18,PROD0002,WH-SOUTH,743,383,136,9,147.05,1.9,1
2024-04-19,PROD0002,WH-SOUTH,871,369,79,7,154.11,2.4,1
2024-04-20,PROD0002,WH-NORTH,816,534,262,2,16.93,1.5,1
2024-04-21,PROD0002,WH-NORTH,602,406,206,14,108.16,1.5,1
2024-04-22,PROD0002,WH-EAST,1120,463,90,4,183.89,2.4,1
2024-04-23,PROD0002,WH-EAST,1227,445,36,4,55.71,2.8,1
2024-04-24,PROD0002,WH-NORTH,996,407,75,13,103.12,2.4,1
2024-04-25,PROD0002,WH-EAST,529,478,302,9,109.34,1.1,1
2024-04-26,PROD0002,WH-NORTH,933,490,179,6,45.09,1.9,1
2024-04-27,PROD0002,WH-SOUTH,287,573,478,2,88.03,0.5,1
2024-04-28,PROD0002,WH-NORTH,992,469,139,13,10.16,2.1,1
2024-04-29,PROD0002,WH-SOUTH,650,465,249,11,24.98,1.4,1
2024-04-30,PROD0002,WH-NORTH,1072,317,0,10,183.01,3.4,0
2024-05-01,PROD0002,WH-SOUTH,251,316,233,3,170.65,0.8,1
2024-05-02,PROD0002,WH-EAST,494,348,184,2,24.96,1.4,1
2024-05-03,PROD0002,WH-NORTH,359,484,365,8,13.6,0.7,1
2024-05-04,PROD0002,WH-NORTH,1176,380,0,9,37.19,3.1,0
2024-05-05,PROD0002,WH-EAST,652,530,313,5,129.58,1.2,1
2024-05-06,PROD0002,WH-EAST,331,372,262,8,178.27,0.9,1
2024-05-07,PROD0002,WH-NORTH,792,412,148,9,125.6,1.9,1
2024-05-08,PROD0002,WH-EAST,1020,555,215,14,193.16,1.8,1
2024-05-09,PROD0002,WH-NORTH,246,358,276,6,21.53,0.7,1
2024-05-10,PROD0002,WH-SOUTH,1100,421,55,2,130.12,2.6,1
2024-05-11,PROD0002,WH-SOUTH,473,440,283,3,145.09,1.1,1
2024-05-12,PROD0002,WH-EAST,587,520,325,13,185.69,1.1,1
2024-05-13,PROD0002,WH-SOUTH,1131,373,0,12,96.75,3.0,0
2024-05-14,PROD0002,WH-SOUTH,675,527,302,13,154.15,1.3,1
2024-05-15,PROD0002,WH-SOUTH,242,310,230,11,96.5,0.8,1
2024-05-16,PROD0002,WH-NORTH,1082,421,61,8,91.5,2.6,1
2024-05-17,PROD0002,WH-EAST,875,496,205,5,123.02,1.8,1
2024-05-18,PROD0002,WH-SOUTH,985,431,103,2,155.52,2.3,1
2024-05-19,PROD0002,WH-SOUTH,271,449,359,13,9.96,0.6,1
2024-05-20,PROD0002,WH-EAST,353,368,251,12,84.91,1.0,1
2024-05-21,PROD0002,WH-SOUTH,971,367,44,5,74.66,2.6,1
2024-05-22,PROD0002,WH-SOUTH,929,362,53,2,181.82,2.6,1
2024-05-23,PROD0002,WH-EAST,393,407,276,6,30.26,1.0,1
2024-05-24,PROD0002,WH-SOUTH,387,455,326,12,60.71,0.9,1
2024-05-25,PROD0002,WH-SOUTH,1044,438,90,11,62.21,2.4,1
2024-05-26,PROD0002,WH-EAST,743,435,188,12,50.66,1.7,1
2024-05-27,PROD0002,WH-NORTH,378,371,245,9,155.71,1.0,1
2024-05-28,PROD0002,WH-SOUTH,1021,459,119,2,165.48,2.2,1
2024-05-29,PROD0002,WH-SOUTH,934,408,97,9,179.73,2.3,1
2024-05-30,PROD0002,WH-EAST,726,337,95,14,151.15,2.2,1
2024-05-31,PROD0002,WH-NORTH,1006,404,69,4,188.92,2.5,1
2024-06-01,PROD0002,WH-SOUTH,1206,288,0,8,94.3,4.2,0
2024-06-02,PROD0002,WH-SOUTH,299,322,223,14,38.13,0.9,1
2024-06-03,PROD0002,WH-EAST,379,357,231,4,126.13,1.1,1
2024-06-04,PROD0002,WH-NORTH,1263,291,0,5,158.37,4.3,0
2024-06-05,PROD0002,WH-EAST,633,369,158,11,125.23,1.7,1
2024-06-06,PROD0002,WH-NORTH,916,522,217,9,5.18,1.8,1
2024-06-07,PROD0002,WH-SOUTH,805,546,278,11,144.33,1.5,1
2024-06-08,PROD0002,WH-SOUTH,651,488,271,7,48.17,1.3,1
2024-06-09,PROD0002,WH-EAST,948,399,83,5,136.76,2.4,1
2024-06-10,PROD0002,WH-EAST,959,348,29,6,86.36,2.8,1
2024-06-11,PROD0002,WH-EAST,543,362,181,4,9.24,1.5,1
2024-06-12,PROD0002,WH-NORTH,235,497,419,6,177.6,0.5,1
2024-06-13,PROD0002,WH-SOUTH,292,452,355,10,101.73,0.6,1
2024-06-14,PROD0002,WH-EAST,901,326,26,5,133.51,2.8,1
2024-06-15,PROD0002,WH-NORTH,945,456,141,13,191.12,2.1,1
2024-06-16,PROD0002,WH-NORTH,1149,456,73,5,197.16,2.5,1
2024-06-17,PROD0002,WH-NORTH,994,438,107,10,163.96,2.3,1
2024-06-18,PROD0002,WH-EAST,901,414,114,14,173.68,2.2,1
2024-06-19,PROD0002,WH-NORTH,269,458,369,12,122.95,0.6,1
2024-06-20,PROD0002,WH-EAST,1177,442,50,4,138.41,2.7,1
2024-06-21,PROD0002,WH-SOUTH,282,481,387,9,146.35,0.6,1
