customer_id,tenure_months,monthly_charges,total_charges,num_products,support_calls_6m,late_payments,contract_type,payment_method,internet_service,online_security,age_group,churned
CUST00035,49,118.98,5984.16,4,5,0,One year,Bank transfer,DSL,No internet,26-35,1
CUST00036,28,29.48,807.49,2,4,2,Month-to-month,Electronic check,No,No,26-35,1
CUST00037,25,68.65,1793.05,4,6,1,One year,Credit card,Fiber optic,Yes,18-25,1
CUST00038,42,90.6,3887.25,2,3,7,Month-to-month,Electronic check,No,Yes,36-50,1
CUST00039,40,88.41,3486.18,1,9,1,Two year,Electronic check,Fiber optic,No internet,36-50,0
CUST00040,17,56.96,1059.43,1,0,1,One year,Bank transfer,Fiber optic,No internet,51-65,0
CUST00041,36,75.5,2759.98,3,3,1,One year,Bank transfer,No,No internet,65+,1
CUST00042,31,101.33,2983.6,5,7,0,One year,Bank transfer,No,No,18-25,0
CUST00043,68,69.09,4794.53,3,1,7,One year,Bank transfer,Fiber optic,No internet,26-35,1
CUST00044,47,104.78,4490.33,2,3,0,One year,Bank transfer,Fiber optic,No,51-65,0
CUST00045,41,80.48,3323.64,2,9,4,Month-to-month,Electronic check,No,Yes,26-35,1
CUST00046,68,99.88,6496.34,4,6,11,One year,Bank transfer,DSL,No,18-25,1
CUST00047,4,85.16,358.51,1,5,0,Month-to-month,Mailed check,No,No,65+,1
CUST00048,21,79.38,1753.15,1,4,3,One year,Electronic check,DSL,No internet,26-35,1
CUST00049,42,115.61,4490.39,3,8,7,One year,Bank transfer,Fiber optic,No internet,51-65,1
CUST00050,71,22.55,1580.0,3,6,2,Month-to-month,Electronic check,Fiber optic,No internet,65+,0
CUST00051,6,108.33,592.24,2,7,0,Month-to-month,Bank transfer,DSL,Yes,65+,1
CUST00052,21,114.01,2267.32,3,5,2,Month-to-month,Mailed check,Fiber optic,No internet,18-25,1
CUST00053,68,61.64,4434.4,2,8,1,Month-to-month,Mailed check,DSL,Yes,36-50,0
CUST00054,30,43.93,1356.06,5,0,0,One year,Credit card,DSL,Yes,26-35,0
CUST00055,20,115.44,2141.49,3,5,3,Two year,Mailed check,DSL,No internet,36-50,1
CUST00056,64,22.35,1491.83,4,8,1,Month-to-month,Bank transfer,No,No,18-25,0
CUST00057,45,90.18,4124.31,3,8,2,One year,Bank transfer,DSL,No internet,18-25,1
CUST00058,37,46.56,1679.41,4,2,6,One year,Bank transfer,Fiber optic,No,51-65,1
CUST00059,16,85.05,1347.64,4,9,2,Two year,Mailed check,DSL,Yes,18-25,1
CUST00060,6,58.75,324.77,2,3,1,Two year,Electronic check,Fiber optic,No,18-25,1
CUST00061,30,76.68,2477.25,3,3,4,Month-to-month,Electronic check,DSL,Yes,26-35,0
CUST00062,43,40.64,1903.68,4,5,7,Month-to-month,Mailed check,Fiber optic,No internet,65+,1
CUST00063,37,99.5,3804.48,2,1,4,Month-to-month,Credit card,DSL,No internet,18-25,1
CUST00064,2,114.68,249.09,3,7,0,Month-to-month,Credit card,Fiber optic,Yes,26-35,1
CUST00065,55,94.18,5048.15,3,6,0,One year,Credit card,DSL,No,26-35,0
CUST00066,34,65.69,2426.54,2,1,5,Month-to-month,Mailed check,DSL,Yes,18-25,1
CUST00067,12,92.48,1099.83,5,8,1,One year,Credit card,No,No internet,51-65,1
CUST00068,9,93.14,780.13,1,6,1,One year,Mailed check,DSL,Yes,65+,1
CUST00069,6,85.66,561.19,3,4,1,Month-to-month,Electronic check,DSL,No internet,36-50,1
CUST00070,25,43.48,1075.69,1,10,0,One year,Mailed check,DSL,No internet,18-25,1
CUST00071,37,56.4,2127.72,4,7,4,Month-to-month,Electronic check,No,No,65+,0
CUST00072,70,34.57,2533.73,3,6,2,One year,Electronic check,DSL,No internet,51-65,0
CUST00073,70,60.78,4647.2,1,9,4,Month-to-month,Electronic check,Fiber optic,No internet,51-65,0
CUST00074,58,95.37,5931.72,2,0,5,Two year,Bank transfer,No,No,65+,0
CUST00075,21,105.11,2239.84,2,6,0,One year,Credit card,No,No internet,18-25,1
CUST00076,67,30.38,1833.56,5,10,2,One year,Mailed check,DSL,No,36-50,0
CUST00077,71,113.69,8109.32,4,3,9,One year,Mailed check,No,Yes,26-35,0
CUST00078,59,35.57,2180.03,2,0,8,Month-to-month,Electronic check,DSL,No,36-50,0
CUST00079,27,74.2,1841.76,2,0,0,Month-to-month,Electronic check,DSL,Yes,26-35,0
CUST00080,10,26.7,264.47,1,6,1,Two year,Electronic check,Fiber optic,No,36-50,1
CUST00081,27,50.38,1392.7,4,10,4,Two year,Credit card,No,No,18-25,1
CUST00082,64,51.96,3013.54,4,6,8,Two year,Electronic check,No,No,18-25,1
CUST00083,49,23.87,1166.69,1,7,4,Two year,Credit card,DSL,Yes,18-25,0
CUST00084,59,57.99,3310.13,5,7,0,Two year,Mailed check,DSL,No internet,51-65,0
CUST00085,13,21.03,253.07,1,8,1,Month-to-month,Bank transfer,Fiber optic,No,65+,1
CUST00086,50,100.13,5042.21,1,4,1,One year,Electronic check,DSL,Yes,36-50,0
CUST00087,43,62.67,2795.49,1,3,7,One year,Bank transfer,DSL,No,26-35,0
CUST00088,49,24.39,1119.26,3,10,7,Two year,Credit card,DSL,Yes,26-35,1
CUST00089,17,94.04,1741.5,5,0,1,One year,Electronic check,No,No,18-25,1
CUST00090,68,109.77,7267.73,5,1,6,Two year,Mailed check,DSL,Yes,18-25,0
CUST00091,34,107.78,3785.23,4,6,4,Month-to-month,Bank transfer,DSL,Yes,26-35,1
CUST00092,12,77.04,954.92,4,10,2,Month-to-month,Bank transfer,No,No,18-25,1
CUST00093,72,23.98,1623.81,3,2,11,Two year,Mailed check,DSL,No,18-25,0
CUST00094,66,98.81,6016.38,3,9,8,Month-to-month,Electronic check,DSL,No,26-35,1
CUST00095,25,86.4,2150.61,2,1,1,One year,Credit card,DSL,No internet,26-35,1
CUST00096,66,34.54,2398.42,4,8,1,One year,Electronic check,DSL,No,51-65,0
CUST00097,8,95.24,692.27,3,6,0,Month-to-month,Electronic check,Fiber optic,No,65+,1
CUST00098,29,94.86,2545.9,5,8,3,Month-to-month,Bank transfer,No,No internet,36-50,1
CUST00099,64,97.31,6144.06,1,6,1,Two year,Credit card,No,Yes,18-25,0
CUST00100,48,47.74,2191.08,3,4,8,One year,Mailed check,Fiber optic,No internet,65+,0
CUST00101,72,112.35,8259.4,5,2,7,One year,Credit card,No,No,36-50,0
CUST00102,69,71.7,5077.28,3,10,4,Two year,Bank transfer,Fiber optic,No,26-35,1
CUST00103,25,54.85,1318.14,3,8,3,One year,Electronic check,No,No,26-35,1
CUST00104,18,100.22,1871.91,2,10,2,Month-to-month,Mailed check,No,No internet,26-35,1
CUST00105,16,92.46,1590.65,2,3,2,Two year,Electronic check,DSL,No internet,51-65,1
CUST00106,48,44.56,2132.18,3,9,7,Two year,Credit card,Fiber optic,Yes,51-65,1
CUST00107,71,118.39,7570.61,2,4,7,One year,Electronic check,No,No internet,51-65,0
CUST00108,26,46.57,1327.44,4,9,0,Month-to-month,Bank transfer,DSL,Yes,36-50,0
CUST00109,7,24.1,154.2,1,8,1,Month-to-month,Credit card,No,No internet,51-65,1
CUST00110,27,23.99,668.5,1,0,0,One year,Electronic check,Fiber optic,Yes,26-35,0
CUST00111,29,81.83,2406.59,3,8,2,Month-to-month,Bank transfer,DSL,No internet,65+,1
CUST00112,41,96.24,3686.87,4,3,4,Month-to-month,Electronic check,Fiber optic,Yes,18-25,0
CUST00113,32,104.54,3158.6,4,9,1,Month-to-month,Bank transfer,Fiber optic,Yes,18-25,0
CUST00114,31,87.12,2665.72,5,6,3,Month-to-month,Mailed check,No,No,51-65,1
CUST00115,20,93.92,1835.0,5,6,0,Two year,Electronic check,DSL,No internet,51-65,1
CUST00116,56,98.96,5568.29,3,0,7,One year,Bank transfer,Fiber optic,Yes,18-25,0
CUST00117,49,36.84,1770.5,2,5,5,One year,Electronic check,DSL,No internet,36-50,0
CUST00118,30,57.94,1869.51,1,10,4,One year,Credit card,Fiber optic,No internet,36-50,1
CUST00119,47,58.1,2725.76,4,6,1,One year,Electronic check,Fiber optic,Yes,36-50,1
CUST00120,47,111.16,4973.6,2,2,3,Two year,Bank transfer,DSL,No,36-50,1
CUST00121,7,96.07,617.34,2,1,0,One year,Credit card,No,No,51-65,0
CUST00122,20,49.32,1057.12,3,2,1,Month-to-month,Bank transfer,DSL,No internet,18-25,0
CUST00123,23,48.82,1116.18,4,2,1,Month-to-month,Bank transfer,No,No internet,18-25,1
CUST00124,9,97.28,835.08,2,8,0,One year,Bank transfer,DSL,No internet,26-35,1
CUST00125,32,98.69,3047.85,2,4,4,Month-to-month,Credit card,Fiber optic,Yes,26-35,1
CUST00126,7,66.91,500.83,2,9,1,Month-to-month,Mailed check,DSL,No internet,18-25,1
CUST00127,32,36.21,1183.29,1,1,3,Month-to-month,Credit card,Fiber optic,No,65+,0
CUST00128,63,87.75,5412.18,5,6,8,Two year,Electronic check,No,No internet,51-65,0
CUST00129,33,72.35,2343.47,5,7,1,Month-to-month,Bank transfer,DSL,No internet,36-50,1
CUST00130,39,31.55,1329.91,4,6,2,Month-to-month,Credit card,DSL,No,26-35,0
CUST00131,58,106.52,6537.14,2,10,4,One year,Bank transfer,DSL,Yes,26-35,1
CUST00132,57,45.29,2529.51,4,5,3,Month-to-month,Bank transfer,DSL,No internet,18-25,0
CUST00133,38,57.4,2116.01,4,10,6,One year,Credit card,No,No,36-50,1
CUST00134,66,75.16,4504.71,4,1,5,Two year,Bank transfer,DSL,Yes,26-35,0
CUST00135,72,46.96,3059.7,2,10,8,One year,Credit card,Fiber optic,No,36-50,1
CUST00136,59,54.69,3114.77,3,0,8,One year,Mailed check,No,Yes,65+,0
CUST00137,65,26.73,1900.12,4,5,10,Two year,Mailed check,No,No internet,36-50,0
CUST00138,19,34.22,704.14,1,9,3,Month-to-month,Electronic check,DSL,Yes,26-35,1
CUST00139,54,76.93,4085.75,2,6,8,Two year,Electronic check,DSL,Yes,18-25,1
CUST00140,21,105.88,2119.2,4,1,1,Two year,Mailed check,DSL,Yes,51-65,0
CUST00141,44,81.68,3938.55,4,4,5,Two year,Electronic check,No,Yes,65+,1
CUST00142,67,88.26,6275.54,2,3,0,Two year,Electronic check,Fiber optic,No internet,51-65,0
CUST00143,7,115.21,774.27,3,1,0,Two year,Bank transfer,DSL,Yes,51-65,1
CUST00144,20,112.61,2341.11,5,5,3,One year,Electronic check,DSL,Yes,26-35,1
CUST00145,62,114.85,7352.67,3,0,6,One year,Mailed check,DSL,No,51-65,0
CUST00146,4,53.38,207.98,3,3,0,One year,Bank transfer,Fiber optic,No,26-35,1
CUST00147,37,44.32,1739.72,3,2,4,One year,Mailed check,DSL,Yes,18-25,0
CUST00148,11,99.62,988.1,5,6,1,Two year,Bank transfer,DSL,Yes,51-65,1
CUST00149,23,23.27,512.88,3,10,2,Two year,Credit card,DSL,Yes,36-50,1
CUST00150,43,30.0,1418.05,1,0,0,Month-to-month,Mailed check,Fiber optic,Yes,36-50,0
CUST00151,38,81.54,3114.69,5,4,1,Month-to-month,Mailed check,No,No,26-35,0
CUST00152,66,29.61,1995.88,3,0,6,Two year,Mailed check,Fiber optic,No,65+,0
CUST00153,40,49.37,2056.03,4,6,6,Month-to-month,Electronic check,No,No,26-35,0
CUST00154,31,66.13,2133.36,1,1,0,Month-to-month,Mailed check,DSL,Yes,18-25,0
CUST00155,37,97.04,3725.29,5,3,5,One year,Mailed check,Fiber optic,Yes,65+,1
CUST00156,39,113.74,4178.38,4,10,0,One year,Credit card,DSL,Yes,36-50,1
CUST00157,50,38.66,1932.08,4,5,7,Month-to-month,Electronic check,No,No internet,51-65,1
CUST00158,41,115.81,4987.06,2,0,6,One year,Credit card,Fiber optic,No,26-35,1
CUST00159,6,108.42,616.7,5,7,1,Month-to-month,Bank transfer,Fiber optic,Yes,18-25,1
CUST00160,47,91.14,4540.77,3,5,0,Two year,Bank transfer,DSL,Yes,36-50,1
CUST00161,65,47.34,3009.83,5,9,9,Two year,Bank transfer,Fiber optic,No internet,18-25,1
CUST00162,59,116.41,6993.16,3,8,7,One year,Credit card,Fiber optic,No,51-65,1
CUST00163,30,112.31,3594.91,2,7,2,One year,Credit card,DSL,No internet,65+,1
CUST00164,33,59.48,1768.24,2,0,1,One year,Credit card,Fiber optic,Yes,18-25,1
CUST00165,36,73.53,2858.58,4,0,4,Two year,Electronic check,No,No internet,18-25,0
CUST00166,64,118.89,7172.84,5,4,1,One year,Electronic check,DSL,No internet,26-35,1
CUST00167,2,88.51,162.14,2,7,0,Month-to-month,Bank transfer,No,No internet,36-50,0
CUST00168,22,85.75,1951.32,4,2,3,Month-to-month,Electronic check,Fiber optic,No internet,65+,1
CUST00169,9,27.62,231.46,1,0,0,Month-to-month,Electronic check,DSL,Yes,51-65,0
CUST00170,44,32.14,1489.39,5,7,1,Month-to-month,Electronic check,DSL,No,26-35,0
CUST00171,50,100.66,5078.6,3,0,1,Month-to-month,Bank transfer,DSL,No,26-35,0
CUST00172,67,101.52,6849.19,4,10,5,One year,Credit card,No,No,26-35,1
CUST00173,22,39.01,881.82,5,1,1,Two year,Mailed check,No,No,51-65,0
CUST00174,42,84.25,3325.56,1,0,7,Month-to-month,Electronic check,No,No,51-65,1
CUST00175,1,116.96,125.43,1,2,0,Two year,Credit card,No,Yes,51-65,1
CUST00176,64,75.36,4872.82,3,1,9,Two year,Electronic check,DSL,No,65+,1
CUST00177,55,49.35,2908.95,1,4,2,Two year,Electronic check,Fiber optic,Yes,36-50,0
CUST00178,44,104.97,5063.28,5,5,1,One year,Credit card,DSL,No,36-50,0
CUST00179,24,91.18,2350.04,5,9,4,Month-to-month,Electronic check,DSL,Yes,36-50,1
CUST00180,43,51.83,2060.97,5,3,1,Two year,Credit card,No,No internet,65+,0
CUST00181,70,49.72,3516.85,3,1,6,Month-to-month,Electronic check,Fiber optic,Yes,36-50,0
CUST00182,35,94.11,3054.65,1,9,0,One year,Electronic check,Fiber optic,No internet,18-25,1
CUST00183,34,35.88,1327.19,2,1,2,Month-to-month,Bank transfer,No,No internet,18-25,0
CUST00184,3,67.03,210.29,2,2,0,Two year,Electronic check,No,No internet,26-35,1
CUST00185,64,74.76,4362.99,2,9,10,One year,Bank transfer,No,No,36-50,1
CUST00186,18,60.45,1107.85,5,4,2,Month-to-month,Mailed check,Fiber optic,No internet,65+,1
CUST00187,64,20.15,1190.2,5,3,4,Two year,Bank transfer,No,Yes,65+,0
CUST00188,16,116.72,1773.69,1,3,0,Two year,Mailed check,DSL,Yes,36-50,1
CUST00189,15,77.46,1197.19,1,0,1,Month-to-month,Electronic check,DSL,No,26-35,0
CUST00190,19,92.43,1856.48,3,5,3,One year,Mailed check,No,Yes,26-35,1
CUST00191,27,58.92,1491.57,2,7,3,One year,Mailed check,DSL,No,18-25,1
CUST00192,56,66.36,3390.18,1,7,8,One year,Bank transfer,Fiber optic,No,26-35,1
CUST00193,55,96.91,5301.52,5,1,9,One year,Electronic check,Fiber optic,No internet,26-35,1
CUST00194,58,40.09,2494.43,4,6,4,Month-to-month,Credit card,DSL,No internet,51-65,0
CUST00195,50,41.89,2282.38,5,10,2,Month-to-month,Electronic check,No,No,65+,1
CUST00196,33,88.99,2802.65,5,4,5,Month-to-month,Bank transfer,Fiber optic,No,26-35,1
CUST00197,72,105.59,7715.63,5,2,10,One year,Credit card,DSL,Yes,36-50,1
CUST00198,71,61.97,4260.21,4,3,2,One year,Electronic check,No,No,65+,0
CUST00199,26,82.88,2228.08,5,9,4,One year,Credit card,Fiber optic,No,65+,1
CUST00200,26,109.03,2735.4,3,5,3,One year,Bank transfer,Fiber optic,No internet,18-25,1
CUST00201,10,30.32,327.21,2,6,0,Month-to-month,Mailed check,Fiber optic,No internet,18-25,0
CUST00202,14,88.1,1350.8,4,2,0,Month-to-month,Credit card,Fiber optic,Yes,65+,1
CUST00203,53,32.03,1623.04,5,7,3,Month-to-month,Electronic check,DSL,No internet,18-25,0
CUST00204,12,100.54,1276.72,5,10,0,Two year,Bank transfer,No,No internet,18-25,1
CUST00205,63,101.71,6044.23,4,5,1,Month-to-month,Bank transfer,No,No,18-25,0
CUST00206,55,89.64,5358.79,4,8,2,Two year,Credit card,No,No,26-35,1
CUST00207,23,102.23,2226.3,1,2,1,Month-to-month,Bank transfer,DSL,No,51-65,1
CUST00208,8,86.17,651.53,2,0,0,One year,Electronic check,No,No,26-35,0
CUST00209,9,103.36,866.81,4,0,0,One year,Credit card,No,Yes,51-65,0
CUST00210,14,28.48,371.41,1,2,1,Month-to-month,Electronic check,No,No internet,65+,1
CUST00211,68,115.0,8495.73,5,5,7,Month-to-month,Bank transfer,Fiber optic,No,26-35,1
CUST00212,57,47.92,2600.46,2,0,3,Two year,Mailed check,DSL,No internet,18-25,0
CUST00213,17,110.08,1770.21,5,1,2,One year,Mailed check,No,No internet,26-35,1
CUST00214,7,71.8,506.52,2,2,0,Two year,Credit card,DSL,No internet,65+,1
CUST00215,11,53.91,597.47,3,4,1,Two year,Bank transfer,DSL,Yes,51-65,1
CUST00216,63,105.02,6226.3,2,10,1,Month-to-month,Mailed check,No,No internet,65+,0
CUST00217,11,93.77,994.72,2,10,1,One year,Credit card,DSL,Yes,18-25,1
CUST00218,4,106.29,444.13,1,5,0,Two year,Credit card,DSL,No internet,26-35,1
CUST00219,62,115.31,6574.8,5,10,5,Month-to-month,Credit card,No,Yes,36-50,0
CUST00220,41,57.9,2191.18,5,10,2,Month-to-month,Bank transfer,No,No internet,65+,1
CUST00221,70,67.68,4729.2,1,2,2,One year,Credit card,Fiber optic,No,51-65,0
CUST00222,6,70.71,421.49,1,9,0,Month-to-month,Mailed check,Fiber optic,No internet,36-50,1
CUST00223,12,56.15,675.94,5,2,1,One year,Credit card,DSL,No,26-35,1
CUST00224,35,71.17,2735.4,3,10,0,Two year,Mailed check,No,Yes,65+,0
CUST00225,6,82.5,450.75,2,3,1,Two year,Mailed check,No,No,18-25,1
CUST00226,68,38.48,2388.74,3,0,1,Two year,Credit card,No,No internet,18-25,0
CUST00227,34,82.56,2671.55,2,8,3,One year,Bank transfer,No,Yes,51-65,1
CUST00228,25,72.83,1662.04,3,3,1,One year,Electronic check,No,Yes,65+,0
CUST00229,40,60.76,2264.45,2,6,6,Two year,Bank transfer,Fiber optic,No internet,65+,1
CUST00230,56,41.39,2229.57,3,1,7,One year,Mailed check,DSL,No,36-50,1
CUST00231,38,106.63,3681.04,4,3,5,Two year,Electronic check,Fiber optic,No internet,26-35,1
CUST00232,38,39.17,1597.26,1,10,0,One year,Electronic check,No,No internet,65+,0
CUST00233,65,111.63,6563.0,2,1,5,Month-to-month,Bank transfer,Fiber optic,No,26-35,0
CUST00234,60,81.01,5052.29,3,0,4,One year,Bank transfer,DSL,Yes,26-35,0
CUST00235,46,39.43,1823.29,5,5,1,One year,Bank transfer,DSL,Yes,18-25,0
CUST00236,13,91.13,1173.97,4,1,2,Month-to-month,Credit card,No,No internet,26-35,1
CUST00237,64,41.68,2616.83,3,3,0,One year,Credit card,No,Yes,18-25,0
CUST00238,65,69.67,4946.72,4,1,7,Two year,Credit card,DSL,Yes,26-35,1
CUST00239,4,119.73,433.84,1,5,0,Month-to-month,Bank transfer,No,No internet,18-25,1
CUST00240,32,88.84,2748.41,4,4,5,Month-to-month,Mailed check,DSL,No internet,26-35,1
CUST00241,51,56.79,3065.48,2,0,1,One year,Credit card,DSL,No internet,65+,1
CUST00242,37,30.89,1095.44,2,6,4,Two year,Bank transfer,Fiber optic,Yes,26-35,0
CUST00243,21,114.16,2448.46,5,2,0,Month-to-month,Mailed check,Fiber optic,No,36-50,1
CUST00244,54,27.67,1421.01,1,4,2,Two year,Credit card,Fiber optic,No internet,18-25,0
CUST00245,44,43.76,2093.18,4,6,0,Two year,Credit card,DSL,No internet,26-35,0
CUST00246,55,98.03,4871.86,1,3,0,One year,Mailed check,No,Yes,18-25,0
CUST00247,50,35.4,1754.29,3,3,1,Month-to-month,Bank transfer,Fiber optic,No,36-50,0
CUST00248,7,101.74,713.47,2,6,0,One year,Bank transfer,No,Yes,65+,0
CUST00249,34,49.04,1821.8,1,3,2,Two year,Credit card,No,No,26-35,0
CUST00250,44,49.84,2182.82,5,8,2,Two year,Electronic check,No,No internet,18-25,0
CUST00251,7,30.25,206.27,1,9,0,Two year,Electronic check,No,No internet,18-25,1
CUST00252,38,48.58,1728.55,1,7,2,Two year,Mailed check,No,No internet,51-65,0
CUST00253,38,103.03,4026.13,5,10,5,One year,Credit card,No,No,26-35,1
CUST00254,69,98.35,6893.75,5,3,2,Month-to-month,Electronic check,No,No internet,26-35,0
CUST00255,23,109.05,2311.69,2,4,1,One year,Mailed check,No,No internet,18-25,1
CUST00256,53,82.22,3941.9,5,7,2,One year,Credit card,No,No,26-35,0
CUST00257,28,50.95,1553.01,2,8,4,Month-to-month,Electronic check,No,No internet,65+,1
CUST00258,47,85.02,4314.43,5,2,0,Month-to-month,Electronic check,Fiber optic,No internet,18-25,1
CUST00259,19,110.22,2121.94,4,5,0,Two year,Bank transfer,Fiber optic,No internet,36-50,0
CUST00260,70,87.66,6055.38,3,1,8,One year,Credit card,DSL,Yes,65+,0
CUST00261,62,100.87,5751.44,2,3,8,One year,Electronic check,DSL,No,26-35,1
CUST00262,35,59.87,1948.33,5,4,4,Month-to-month,Bank transfer,Fiber optic,Yes,18-25,1
CUST00263,1,86.77,87.01,5,6,0,Month-to-month,Credit card,DSL,No,65+,1
CUST00264,26,27.51,739.34,5,5,0,Two year,Credit card,No,No internet,36-50,0
CUST00265,11,49.3,553.85,3,0,1,One year,Bank transfer,No,No internet,26-35,1
CUST00266,57,84.21,4921.87,1,5,3,One year,Mailed check,Fiber optic,No internet,36-50,0
CUST00267,51,36.23,1926.93,4,2,6,One year,Bank transfer,No,Yes,36-50,0
CUST00268,3,75.55,208.16,4,10,0,Month-to-month,Credit card,Fiber optic,Yes,51-65,1
CUST00269,68,87.46,5665.14,2,3,3,One year,Bank transfer,DSL,Yes,36-50,0
CUST00270,46,91.49,3931.83,3,6,1,One year,Credit card,DSL,Yes,18-25,0
CUST00271,11,80.29,794.95,1,3,1,Month-to-month,Electronic check,DSL,No,51-65,1
CUST00272,70,77.34,5245.93,1,3,3,Two year,Electronic check,Fiber optic,No,65+,0
CUST00273,7,92.6,605.25,5,5,0,Month-to-month,Mailed check,Fiber optic,No internet,18-25,1
CUST00274,13,63.12,785.24,1,3,1,Month-to-month,Mailed check,Fiber optic,No internet,18-25,1
CUST00275,19,110.5,2200.66,4,10,1,Month-to-month,Credit card,DSL,Yes,18-25,1
CUST00276,63,109.43,7016.8,2,1,10,One year,Bank transfer,No,No internet,36-50,1
CUST00277,63,98.44,6433.39,4,3,6,Month-to-month,Bank transfer,DSL,No internet,26-35,1
CUST00278,70,88.15,5946.44,1,5,3,Two year,Credit card,Fiber optic,No internet,65+,0
CUST00279,70,91.92,6342.63,1,7,7,Two year,Credit card,Fiber optic,No,26-35,0
CUST00280,52,71.83,3964.95,1,5,0,Two year,Bank transfer,DSL,Yes,36-50,0
CUST00281,42,87.39,3366.61,4,10,5,Month-to-month,Electronic check,No,No,18-25,1
CUST00282,34,60.49,1912.83,1,8,5,Two year,Bank transfer,Fiber optic,No internet,51-65,1
CUST00283,59,95.5,6147.12,5,9,8,Two year,Electronic check,DSL,No,65+,1
CUST00284,70,48.88,3453.58,1,2,2,One year,Credit card,No,No internet,26-35,0
CUST00285,70,63.32,4626.71,3,8,4,Two year,Bank transfer,Fiber optic,No internet,36-50,0
CUST00286,66,75.35,4541.45,1,4,5,One year,Credit card,No,No internet,51-65,0
CUST00287,12,55.69,625.38,5,6,1,One year,Mailed check,DSL,No internet,26-35,1
CUST00288,4,113.39,449.21,4,1,0,One year,Mailed check,No,No internet,51-65,1
CUST00289,50,74.2,3974.91,5,6,8,One year,Bank transfer,DSL,No,65+,0
CUST00290,26,69.39,1894.26,5,5,4,Two year,Bank transfer,Fiber optic,Yes,36-50,1
CUST00291,4,86.36,370.85,4,6,0,Two year,Mailed check,No,Yes,18-25,1
CUST00292,16,36.79,635.7,2,5,1,Two year,Mailed check,Fiber optic,No internet,51-65,1
CUST00293,26,34.04,942.83,5,4,1,Two year,Bank transfer,No,Yes,65+,1
CUST00294,35,98.95,3692.04,2,3,4,Month-to-month,Electronic check,Fiber optic,Yes,36-50,1
CUST00295,11,88.45,1053.9,2,8,1,Two year,Mailed check,DSL,No,51-65,1
