date,region,category,revenue,orders,avg_order_value,return_rate,discount_pct,customer_satisfaction
2023-02-06,West,Books,5984.15,129,46.39,0.124,0.18,3.7
2023-02-06,Central,Books,6845.54,149,45.94,0.03,0.26,4.7
2023-02-07,North,Home,6698.65,116,57.75,0.095,0.29,4.5
2023-02-07,South,Sports,7183.79,127,56.57,0.082,0.05,3.1
2023-02-07,East,Books,6716.03,142,47.3,0.148,0.03,4.3
2023-02-07,West,Sports,7004.89,108,64.86,0.041,0.11,3.6
2023-02-07,Central,Sports,6663.12,125,53.3,0.027,0.19,3.7
2023-02-08,North,Sports,6365.87,120,53.05,0.134,0.1,4.2
2023-02-08,South,Home,6886.16,143,48.15,0.037,0.21,3.2
2023-02-08,East,Sports,6148.2,119,51.67,0.032,0.2,4.0
2023-02-08,West,Clothing,6393.99,140,45.67,0.064,0.23,3.4
2023-02-08,Central,Sports,6723.97,132,50.94,0.12,0.25,4.8
2023-02-09,North,Sports,6551.17,143,45.81,0.037,0.11,3.3
2023-02-09,South,Home,6803.19,111,61.29,0.026,0.11,4.4
2023-02-09,East,Home,6101.86,94,64.91,0.05,0.07,4.9
2023-02-09,West,Sports,6690.36,136,49.19,0.148,0.14,3.6
2023-02-09,Central,Clothing,5916.85,112,52.83,0.126,0.24,3.3
2023-02-10,North,Electronics,6552.5,104,63.0,0.112,0.15,3.2
2023-02-10,South,Home,6982.03,149,46.86,0.138,0.04,3.9
2023-02-10,East,Electronics,6753.16,125,54.03,0.074,0.12,3.7
2023-02-10,West,Clothing,6482.28,122,53.13,0.024,0.28,4.7
2023-02-10,Central,Home,6240.21,130,48.0,0.11,0.04,4.4
2023-02-11,North,Books,19343.0,169,114.46,0.048,0.04,4.9
2023-02-11,South,Electronics,6309.9,104,60.67,0.026,0.13,4.6
2023-02-11,East,Home,6354.91,117,54.32,0.098,0.0,4.0
2023-02-11,West,Clothing,6562.28,122,53.79,0.094,0.06,4.3
2023-02-11,Central,Sports,6720.64,121,55.54,0.091,0.24,4.0
2023-02-12,North,Books,7160.01,156,45.9,0.053,0.0,4.6
2023-02-12,South,Electronics,6632.84,127,52.23,0.12,0.22,3.7
2023-02-12,East,Home,6917.62,112,61.76,0.148,0.14,3.4
2023-02-12,West,Home,6658.81,139,47.91,0.025,0.06,4.6
2023-02-12,Central,Sports,6751.97,131,51.54,0.082,0.01,4.3
2023-02-13,North,Electronics,6384.65,125,51.08,0.133,0.1,3.2
2023-02-13,South,Home,6131.16,102,60.11,0.064,0.06,4.4
2023-02-13,East,Books,7020.78,134,52.39,0.124,0.22,3.2
2023-02-13,West,Electronics,6110.37,109,56.06,0.063,0.09,3.9
2023-02-13,Central,Home,6221.73,104,59.82,0.066,0.01,4.7
2023-02-14,North,Electronics,5918.42,117,50.58,0.03,0.19,3.7
2023-02-14,South,Electronics,7408.62,121,61.23,0.039,0.18,4.6
2023-02-14,East,Home,6667.03,110,60.61,0.143,0.01,3.3
2023-02-14,West,Home,6582.04,121,54.4,0.119,0.17,4.1
2023-02-14,Central,Clothing,6209.47,124,50.08,0.085,0.12,4.1
2023-02-15,North,Home,6818.76,135,50.51,0.048,0.18,4.4
2023-02-15,South,Clothing,6759.58,141,47.94,0.137,0.13,3.2
2023-02-15,East,Books,6557.35,111,59.08,0.107,0.21,4.1
2023-02-15,West,Clothing,6495.51,134,48.47,0.123,0.15,3.2
2023-02-15,Central,Home,6804.33,138,49.31,0.023,0.17,3.7
2023-02-16,North,Books,6686.09,116,57.64,0.072,0.22,4.0
2023-02-16,South,Sports,6201.79,116,53.46,0.03,0.29,4.3
2023-02-16,East,Sports,6129.63,118,51.95,0.103,0.05,4.9
2023-02-16,West,Electronics,6700.42,124,54.04,0.128,0.16,3.6
2023-02-16,Central,Sports,6928.61,139,49.85,0.136,0.25,3.5
2023-02-17,North,Clothing,7158.1,124,57.73,0.101,0.18,3.2
2023-02-17,South,Sports,6307.64,111,56.83,0.114,0.18,4.7
2023-02-17,East,Electronics,6250.68,111,56.31,0.031,0.28,4.5
2023-02-17,West,Electronics,6542.72,115,56.89,0.085,0.19,3.6
2023-02-17,Central,Home,6767.26,105,64.45,0.059,0.02,3.1
2023-02-18,North,Books,6242.34,127,49.15,0.132,0.1,5.0
2023-02-18,South,Books,6690.9,128,52.27,0.087,0.03,3.5
2023-02-18,East,Home,6798.41,142,47.88,0.132,0.13,4.9
2023-02-18,West,Sports,6791.19,107,63.47,0.114,0.06,3.3
2023-02-18,Central,Electronics,6899.36,110,62.72,0.143,0.15,4.9
2023-02-19,North,Electronics,6555.81,132,49.67,0.057,0.18,4.7
2023-02-19,South,Clothing,6449.19,142,45.42,0.135,0.22,4.5
2023-02-19,East,Sports,6346.8,121,52.45,0.093,0.11,3.6
2023-02-19,West,Sports,6316.3,112,56.4,0.108,0.04,5.0
2023-02-19,Central,Books,6779.29,128,52.96,0.093,0.11,3.3
2023-02-20,North,Books,6322.56,138,45.82,0.125,0.16,3.3
2023-02-20,South,Sports,6383.22,101,63.2,0.061,0.12,4.2
2023-02-20,East,Home,6786.92,123,55.18,0.112,0.09,4.6
2023-02-20,West,Home,6229.24,118,52.79,0.096,0.24,4.5
2023-02-20,Central,Sports,6539.18,120,54.49,0.095,0.22,4.2
2023-02-21,North,Sports,6502.44,134,48.53,0.121,0.11,4.6
2023-02-21,South,Home,6586.12,111,59.33,0.061,0.05,4.4
2023-02-21,East,Home,6957.63,130,53.52,0.133,0.22,3.1
2023-02-21,West,Sports,6699.2,130,51.53,0.069,0.29,3.9
2023-02-21,Central,Books,6722.95,120,56.02,0.099,0.06,3.5
2023-02-22,North,Books,6368.24,98,64.98,0.112,0.21,4.0
2023-02-22,South,Books,6491.84,118,55.02,0.057,0.17,4.1
2023-02-22,East,Clothing,6806.6,131,51.96,0.058,0.09,4.4
2023-02-22,West,Books,6385.21,122,52.34,0.117,0.06,4.7
2023-02-22,Central,Sports,6517.23,129,50.52,0.051,0.02,4.8
2023-02-23,North,Electronics,6951.68,140,49.65,0.074,0.22,3.2
2023-02-23,South,Home,6573.56,117,56.18,0.105,0.26,4.0
2023-02-23,East,Books,6539.26,112,58.39,0.062,0.19,4.8
2023-02-23,West,Electronics,6901.25,123,56.11,0.139,0.05,4.8
2023-02-23,Central,Home,6778.49,139,48.77,0.122,0.06,4.5
2023-02-24,North,Sports,6743.26,147,45.87,0.034,0.29,3.6
2023-02-24,South,Home,6392.55,98,65.23,0.136,0.04,4.0
2023-02-24,East,Books,6492.85,125,51.94,0.113,0.0,3.7
2023-02-24,West,Clothing,7111.0,139,51.16,0.043,0.26,4.8
2023-02-24,Central,Clothing,6738.81,144,46.8,0.148,0.14,4.9
2023-02-25,North,Home,6252.58,138,45.31,0.118,0.29,3.6
2023-02-25,South,Electronics,6564.49,113,58.09,0.107,0.14,3.3
2023-02-25,East,Books,6527.36,111,58.81,0.11,0.19,4.9
2023-02-25,West,Home,6429.52,100,64.3,0.117,0.18,3.8
2023-02-25,Central,Sports,6728.92,120,56.07,0.124,0.25,4.5
2023-02-26,North,Sports,6402.37,105,60.97,0.111,0.02,4.1
2023-02-26,South,Sports,6207.77,134,46.33,0.046,0.16,3.3
2023-02-26,East,Home,6771.25,115,58.88,0.032,0.15,4.6
2023-02-26,West,Home,6316.89,116,54.46,0.093,0.17,4.3
2023-02-26,Central,Electronics,22508.01,195,115.43,0.026,0.1,3.1
2023-02-27,North,Electronics,6633.62,102,65.04,0.148,0.14,3.6
2023-02-27,South,Home,6643.76,114,58.28,0.069,0.27,3.9
2023-02-27,East,Electronics,6721.26,106,63.41,0.109,0.2,4.1
2023-02-27,West,Sports,6416.83,132,48.61,0.037,0.29,4.7
2023-02-27,Central,Home,6346.88,105,60.45,0.108,0.16,4.1
2023-02-28,North,Electronics,6676.77,128,52.16,0.024,0.2,4.2
2023-02-28,South,Clothing,6373.51,100,63.74,0.047,0.03,3.1
2023-02-28,East,Home,6194.01,134,46.22,0.077,0.16,4.5
2023-02-28,West,Books,6306.56,104,60.64,0.05,0.27,4.2
2023-02-28,Central,Clothing,6119.84,99,61.82,0.148,0.16,3.8
2023-03-01,North,Sports,6335.95,125,50.69,0.134,0.27,4.3
2023-03-01,South,Home,6262.54,97,64.56,0.122,0.1,3.8
2023-03-01,East,Sports,6732.46,140,48.09,0.082,0.25,3.6
2023-03-01,West,Home,6434.39,101,63.71,0.092,0.04,3.5
2023-03-01,Central,Home,6053.52,123,49.22,0.13,0.03,4.4
2023-03-02,North,Electronics,6665.42,113,58.99,0.044,0.23,4.4
2023-03-02,South,Books,6799.58,121,56.19,0.059,0.27,3.4
2023-03-02,East,Clothing,6760.35,112,60.36,0.11,0.21,3.8
2023-03-02,West,Books,7037.6,141,49.91,0.069,0.16,3.7
2023-03-02,Central,Home,6552.65,119,55.06,0.119,0.1,3.4
2023-03-03,North,Clothing,6938.91,135,51.4,0.116,0.0,4.1
2023-03-03,South,Clothing,6166.58,121,50.96,0.069,0.25,4.0
2023-03-03,East,Books,6338.92,109,58.16,0.119,0.15,4.4
2023-03-03,West,Clothing,6558.29,109,60.17,0.114,0.15,4.8
2023-03-03,Central,Electronics,6247.34,111,56.28,0.088,0.25,3.1
2023-03-04,North,Clothing,6620.6,146,45.35,0.029,0.05,3.4
2023-03-04,South,Sports,6495.28,120,54.13,0.139,0.2,3.0
2023-03-04,East,Sports,6278.86,138,45.5,0.147,0.01,4.6
2023-03-04,West,Clothing,6519.31,111,58.73,0.034,0.03,3.3
2023-03-04,Central,Home,6712.28,109,61.58,0.03,0.29,3.9
2023-03-05,North,Books,6925.37,138,50.18,0.109,0.25,4.3
2023-03-05,South,Sports,6901.19,147,46.95,0.082,0.19,4.4
2023-03-05,East,Books,6188.83,132,46.89,0.094,0.26,3.2
2023-03-05,West,Sports,6495.62,131,49.58,0.082,0.01,3.1
2023-03-05,Central,Sports,6567.13,103,63.76,0.106,0.05,4.7
2023-03-06,North,Home,6787.44,141,48.14,0.141,0.09,4.1
2023-03-06,South,Sports,6604.1,117,56.45,0.063,0.23,3.3
2023-03-06,East,Electronics,7064.24,128,55.19,0.033,0.07,3.2
2023-03-06,West,Sports,6549.19,114,57.45,0.072,0.23,3.1
2023-03-06,Central,Home,6446.8,117,55.1,0.076,0.2,4.3
2023-03-07,North,Clothing,7514.82,160,46.97,0.113,0.02,3.3
2023-03-07,South,Electronics,6483.91,108,60.04,0.032,0.28,3.9
2023-03-07,East,Electronics,6172.31,102,60.51,0.044,0.13,4.1
2023-03-07,West,Sports,6527.35,125,52.22,0.122,0.26,3.0
2023-03-07,Central,Sports,6623.13,124,53.41,0.138,0.29,4.1
2023-03-08,North,Home,6728.81,140,48.06,0.039,0.05,3.6
2023-03-08,South,Books,6843.64,134,51.07,0.053,0.07,4.3
2023-03-08,East,Home,6422.13,136,47.22,0.063,0.19,4.6
2023-03-08,West,Sports,6476.63,125,51.81,0.038,0.1,4.9
2023-03-08,Central,Books,6665.83,103,64.72,0.116,0.19,4.9
2023-03-09,North,Books,6836.18,112,61.04,0.126,0.12,3.2
2023-03-09,South,Sports,6218.03,111,56.02,0.023,0.22,4.9
2023-03-09,East,Electronics,6431.04,130,49.47,0.126,0.24,3.8
2023-03-09,West,Home,6163.0,123,50.11,0.123,0.02,5.0
2023-03-09,Central,Sports,6589.82,120,54.92,0.14,0.26,3.8
2023-03-10,North,Sports,7356.98,124,59.33,0.103,0.03,4.5
2023-03-10,South,Sports,6769.84,116,58.36,0.026,0.3,4.4
2023-03-10,East,Electronics,6184.28,96,64.42,0.033,0.07,4.5
2023-03-10,West,Clothing,6885.0,122,56.43,0.078,0.12,4.5
2023-03-10,Central,Electronics,6289.17,121,51.98,0.058,0.28,3.2
2023-03-11,North,Books,6403.84,103,62.17,0.061,0.14,3.4
2023-03-11,South,Books,6251.39,116,53.89,0.029,0.01,4.4
2023-03-11,East,Electronics,6627.11,145,45.7,0.108,0.05,5.0
2023-03-11,West,Home,6597.69,136,48.51,0.05,0.12,3.4
2023-03-11,Central,Electronics,6776.21,117,57.92,0.116,0.26,3.9
2023-03-12,North,Electronics,6566.29,133,49.37,0.095,0.24,4.1
2023-03-12,South,Electronics,6604.03,126,52.41,0.054,0.26,4.1
2023-03-12,East,Books,6332.35,110,57.57,0.066,0.14,3.3
2023-03-12,West,Sports,6281.71,107,58.71,0.097,0.2,3.6
2023-03-12,Central,Home,6602.63,125,52.82,0.074,0.04,3.8
2023-03-13,North,Clothing,6742.45,138,48.86,0.092,0.15,3.3
2023-03-13,South,Electronics,6463.52,140,46.17,0.083,0.06,3.8
2023-03-13,East,Home,6895.07,122,56.52,0.109,0.12,4.7
2023-03-13,West,Books,6468.89,141,45.88,0.024,0.07,3.6
2023-03-13,Central,Home,6602.05,108,61.13,0.091,0.03,3.2
2023-03-14,North,Electronics,6682.29,127,52.62,0.119,0.13,3.4
2023-03-14,South,Clothing,6042.91,112,53.95,0.059,0.3,3.9
2023-03-14,East,Clothing,6273.69,116,54.08,0.047,0.22,4.4
2023-03-14,West,Home,7044.51,113,62.34,0.042,0.04,3.4
2023-03-14,Central,Sports,6622.57,127,52.15,0.042,0.29,3.6
2023-03-15,North,Sports,6696.97,118,56.75,0.148,0.2,3.2
2023-03-15,South,Clothing,7108.05,112,63.46,0.111,0.04,3.3
2023-03-15,East,Home,6473.79,125,51.79,0.084,0.17,3.5
2023-03-15,West,Electronics,6313.44,109,57.92,0.072,0.22,4.4
2023-03-15,Central,Home,6764.7,108,62.64,0.063,0.0,4.5
2023-03-16,North,Books,6544.48,120,54.54,0.131,0.24,3.8
2023-03-16,South,Home,6113.9,94,65.04,0.055,0.25,3.7
2023-03-16,East,Electronics,6255.01,114,54.87,0.026,0.19,4.7
2023-03-16,West,Clothing,6414.8,141,45.5,0.077,0.0,4.9
2023-03-16,Central,Clothing,6732.39,141,47.75,0.134,0.26,3.2
2023-03-17,North,Clothing,7036.3,134,52.51,0.027,0.19,4.5
2023-03-17,South,Clothing,6608.9,141,46.87,0.082,0.04,3.5
2023-03-17,East,Electronics,27580.75,160,172.38,0.148,0.13,3.3
2023-03-17,West,Books,6864.6,115,59.69,0.068,0.09,3.8
2023-03-17,Central,Clothing,6725.39,109,61.7,0.029,0.17,4.2
2023-03-18,North,Home,6743.15,136,49.58,0.1,0.13,3.4
2023-03-18,South,Electronics,6839.17,108,63.33,0.097,0.12,4.9
2023-03-18,East,Sports,6534.85,129,50.66,0.098,0.22,3.6
2023-03-18,West,Books,6751.09,105,64.3,0.047,0.18,3.4
2023-03-18,Central,Clothing,6263.55,103,60.81,0.084,0.03,4.0
