transaction_id,timestamp,amount,merchant_category,payment_method,country,customer_age,transaction_hour,is_weekend,distance_from_home_km,is_fraud
TXN000028,2024-02-09T07:03:00,480.89,travel,credit,JP,29,1,0,7.1,0
TXN000029,2024-05-17T19:43:00,69.45,online,credit,JP,33,15,1,7.8,0
TXN000030,2024-12-26T01:50:00,52.88,restaurant,debit,UK,27,8,1,4.2,0
TXN000031,2024-04-26T17:03:00,105.88,healthcare,digital_wallet,US,59,17,1,40.6,0
TXN000032,2024-05-27T20:50:00,201.88,grocery,debit,CA,29,4,0,5.3,0
TXN000033,2024-06-04T01:06:00,230.95,grocery,credit,US,66,20,0,15.8,0
TXN000034,2024-09-03T08:11:00,98.77,online,digital_wallet,AU,78,12,1,25.7,0
TXN000035,2024-09-16T10:23:00,30.29,healthcare,credit,CA,60,10,0,22.4,0
TXN000036,2024-10-19T13:15:00,65.61,restaurant,credit,FR,71,13,0,3.6,0
TXN000037,2024-11-05T04:17:00,76.46,retail,credit,AU,74,23,0,4.3,0
TXN000038,2024-07-28T15:29:00,593.32,retail,credit,DE,78,4,0,13.9,0
TXN000039,2024-01-15T22:37:00,19.04,grocery,credit,CA,49,11,0,18.7,0
TXN000040,2024-03-25T02:16:00,3224.28,online,debit,AU,41,10,0,23.6,0
TXN000041,2024-03-07T08:42:00,241.73,online,digital_wallet,FR,32,3,0,35.0,0
TXN000042,2024-02-15T01:27:00,117.16,online,digital_wallet,UK,42,15,0,5.5,0
TXN000043,2024-12-24T14:36:00,7.07,travel,digital_wallet,AU,68,4,0,4.8,0
TXN000044,2024-04-21T19:50:00,176.96,grocery,credit,CA,35,7,1,17.1,0
TXN000045,2024-10-05T05:55:00,7254.89,restaurant,debit,US,73,21,0,21.3,1
TXN000046,2024-07-09T01:24:00,262.61,retail,debit,UK,47,16,0,14.0,0
TXN000047,2024-02-07T15:23:00,14181.95,travel,digital_wallet,DE,50,1,0,4.9,1
TXN000048,2024-02-07T21:43:00,43.1,healthcare,credit,UK,55,15,0,30.6,0
TXN000049,2024-11-20T20:13:00,11.44,travel,digital_wallet,FR,68,22,0,20.6,0
TXN000050,2024-05-08T09:03:00,15.65,retail,debit,JP,61,2,0,49.5,0
TXN000051,2024-11-05T17:34:00,56.38,online,credit,DE,19,11,1,0.8,0
TXN000052,2024-09-08T19:39:00,109.48,retail,credit,CA,50,1,1,24.8,0
TXN000053,2024-01-25T01:36:00,283.31,travel,digital_wallet,JP,43,7,1,0.8,0
TXN000054,2024-04-15T06:51:00,16.3,retail,credit,US,20,6,0,0.1,0
TXN000055,2024-11-16T06:00:00,4.11,grocery,digital_wallet,UK,70,9,0,20.5,0
TXN000056,2024-05-18T05:09:00,815.99,restaurant,debit,DE,23,11,0,3.9,0
TXN000057,2024-06-10T17:48:00,177.87,travel,debit,FR,51,14,0,0.9,0
TXN000058,2024-03-04T07:33:00,131.35,online,digital_wallet,DE,69,2,0,10.4,0
TXN000059,2024-10-16T10:09:00,105.28,healthcare,debit,JP,24,4,0,32.5,0
TXN000060,2024-09-27T05:31:00,228.02,retail,debit,US,57,16,1,17.3,0
TXN000061,2024-01-20T01:02:00,28.31,travel,credit,DE,29,19,0,12.9,0
TXN000062,2024-01-13T07:13:00,45190.9,grocery,debit,DE,70,12,0,0.2,1
TXN000063,2024-07-03T19:46:00,102.93,grocery,debit,FR,62,11,1,0.4,0
TXN000064,2024-05-13T07:04:00,643.1,healthcare,digital_wallet,CA,39,4,0,11.7,0
TXN000065,2024-01-07T13:04:00,106.51,healthcare,debit,CA,35,7,0,2.9,0
TXN000066,2024-03-08T15:40:00,7.47,healthcare,debit,UK,35,10,0,4.9,0
TXN000067,2024-11-07T10:50:00,16.31,restaurant,digital_wallet,AU,60,5,0,6.1,0
TXN000068,2024-01-25T18:48:00,51.15,online,debit,CA,40,22,0,25.2,0
TXN000069,2024-05-10T18:21:00,91.7,healthcare,credit,DE,45,9,1,3.5,0
TXN000070,2024-05-18T17:51:00,72.15,online,debit,US,18,1,0,3.8,0
TXN000071,2024-08-02T13:38:00,13.58,grocery,digital_wallet,DE,59,3,0,0.9,0
TXN000072,2024-06-17T01:09:00,77.39,grocery,digital_wallet,UK,21,22,0,5.2,0
TXN000073,2024-03-17T16:43:00,40.55,healthcare,credit,DE,51,11,0,5.3,0
TXN000074,2024-01-09T07:39:00,132.3,restaurant,digital_wallet,AU,75,17,0,11.4,0
TXN000075,2024-01-10T09:26:00,35.65,retail,digital_wallet,JP,31,22,1,6.9,0
TXN000076,2024-09-06T22:29:00,84.65,healthcare,credit,FR,52,1,0,9.5,0
TXN000077,2024-06-08T15:29:00,781.29,retail,debit,JP,76,12,0,0.3,0
TXN000078,2024-09-23T06:31:00,34.98,travel,debit,FR,78,16,0,0.6,0
TXN000079,2024-02-17T16:27:00,1.32,healthcare,digital_wallet,FR,21,21,0,0.2,0
TXN000080,2024-10-27T11:41:00,46.36,healthcare,credit,JP,66,19,0,27.0,0
TXN000081,2024-09-22T06:21:00,61.46,grocery,credit,DE,67,11,1,7.5,0
TXN000082,2024-06-20T14:14:00,29.85,grocery,digital_wallet,JP,76,22,0,5.8,0
TXN000083,2024-06-15T10:56:00,65.61,retail,credit,US,18,6,1,27.9,0
TXN000084,2024-12-26T23:13:00,85.23,travel,credit,UK,52,3,0,0.9,0
TXN000085,2024-03-21T19:09:00,8.37,travel,digital_wallet,AU,37,0,0,4.0,0
TXN000086,2024-05-15T23:38:00,20.36,travel,digital_wallet,AU,34,3,0,2.3,0
TXN000087,2024-09-12T06:15:00,192.42,restaurant,credit,AU,68,3,0,4.3,0
TXN000088,2024-11-17T14:34:00,5.56,healthcare,digital_wallet,DE,20,16,0,15.1,0
TXN000089,2024-06-27T12:43:00,91.06,healthcare,credit,AU,22,0,0,2.7,0
TXN000090,2024-06-01T16:11:00,80.33,retail,digital_wallet,JP,73,16,0,0.9,0
TXN000091,2024-06-16T16:33:00,18.3,retail,credit,CA,40,23,0,3.4,0
TXN000092,2024-09-21T20:20:00,19.82,online,debit,DE,67,2,0,16.2,0
TXN000093,2024-08-15T18:35:00,185.08,online,credit,UK,23,2,0,21.4,0
TXN000094,2024-05-27T10:12:00,38.09,online,credit,AU,49,8,0,32.2,0
TXN000095,2024-02-09T06:59:00,387.18,travel,debit,FR,27,13,1,10.8,0
TXN000096,2024-11-15T20:38:00,73.32,healthcare,credit,US,46,21,0,3.0,0
TXN000097,2024-11-15T09:43:00,11.59,grocery,debit,AU,25,15,0,3.9,0
TXN000098,2024-06-20T11:48:00,201.99,travel,credit,US,73,17,0,23.3,0
TXN000099,2024-02-13T08:16:00,187.29,online,digital_wallet,CA,73,17,0,13.0,0
TXN000100,2024-07-06T02:47:00,962.41,healthcare,credit,FR,54,22,0,13.3,0
TXN000101,2024-12-23T09:56:00,521.69,restaurant,credit,FR,64,9,0,16.8,0
TXN000102,2024-10-23T20:48:00,1051.41,healthcare,debit,US,75,19,1,6.7,0
TXN000103,2024-01-17T11:47:00,9.88,healthcare,debit,UK,42,5,1,10.2,0
TXN000104,2024-11-22T14:06:00,88.17,restaurant,digital_wallet,JP,45,8,1,3.9,0
TXN000105,2024-05-04T16:37:00,1503.81,retail,credit,FR,74,3,0,5.1,0
TXN000106,2024-10-16T20:35:00,84.68,online,debit,US,46,18,1,8.2,0
TXN000107,2024-03-12T04:43:00,2.82,online,debit,JP,46,0,0,3.3,0
TXN000108,2024-04-28T20:28:00,31.05,online,digital_wallet,JP,22,11,0,14.3,0
TXN000109,2024-01-13T00:52:00,85.24,travel,digital_wallet,JP,53,2,0,0.2,0
TXN000110,2024-04-27T11:20:00,387.98,healthcare,credit,UK,68,10,0,23.7,0
TXN000111,2024-05-26T08:51:00,18.22,online,debit,US,65,13,0,10.7,0
TXN000112,2024-10-10T16:13:00,22.52,healthcare,credit,DE,35,2,1,8.9,0
TXN000113,2024-12-25T04:09:00,13.52,travel,digital_wallet,DE,34,6,0,6.6,0
TXN000114,2024-11-15T03:52:00,760.25,healthcare,credit,FR,43,1,0,2.2,0
TXN000115,2024-12-05T22:50:00,57.44,healthcare,credit,JP,70,8,1,24.8,0
TXN000116,2024-09-22T21:27:00,1.54,travel,digital_wallet,US,38,13,1,30.8,0
TXN000117,2024-07-06T13:38:00,11.04,restaurant,credit,UK,67,17,1,14.5,0
TXN000118,2024-08-13T15:31:00,10.9,healthcare,credit,AU,46,18,0,8.1,0
TXN000119,2024-09-10T22:41:00,165.95,restaurant,digital_wallet,CA,53,11,1,11.7,0
TXN000120,2024-02-07T04:10:00,9.52,healthcare,credit,UK,36,18,0,2.2,0
TXN000121,2024-03-11T06:26:00,158.46,grocery,debit,CA,32,16,0,4.2,0
TXN000122,2024-08-16T16:50:00,153.69,restaurant,debit,US,71,9,0,5.3,0
TXN000123,2024-11-24T07:32:00,43.75,restaurant,digital_wallet,FR,29,7,1,5.4,0
TXN000124,2024-02-12T05:40:00,8.08,online,credit,AU,46,14,0,3.4,0
TXN000125,2024-01-19T08:17:00,234.57,online,digital_wallet,DE,52,18,0,4.3,0
TXN000126,2024-09-20T15:26:00,269.6,grocery,digital_wallet,DE,59,17,1,5.2,0
TXN000127,2024-02-19T04:34:00,723.84,grocery,credit,FR,46,3,0,5.1,0
TXN000128,2024-07-27T10:32:00,146.67,travel,debit,FR,19,5,1,5.5,0
TXN000129,2024-02-22T07:25:00,243.99,restaurant,credit,JP,49,14,0,23.9,0
TXN000130,2024-06-26T15:51:00,39.65,travel,debit,US,67,14,1,20.7,0
TXN000131,2024-07-28T11:35:00,51.88,grocery,debit,DE,71,18,0,22.4,0
TXN000132,2024-07-13T08:44:00,30.86,grocery,debit,AU,78,11,0,15.4,0
TXN000133,2024-08-27T19:35:00,70.88,retail,debit,JP,22,14,1,11.0,0
TXN000134,2024-09-23T00:16:00,11.4,healthcare,credit,AU,18,18,0,15.2,0
TXN000135,2024-05-23T10:14:00,1315.64,restaurant,digital_wallet,UK,69,2,0,18.2,0
TXN000136,2024-11-13T13:55:00,81.68,grocery,debit,AU,41,18,0,2.1,0
TXN000137,2024-05-07T22:42:00,801.67,travel,debit,JP,29,3,0,26.3,0
TXN000138,2024-04-05T14:44:00,39.36,restaurant,debit,JP,58,11,0,3.3,0
TXN000139,2024-05-15T16:04:00,102.35,online,digital_wallet,FR,65,12,0,4.3,0
TXN000140,2024-07-14T18:50:00,7.72,retail,credit,US,46,0,1,0.5,0
TXN000141,2024-05-15T22:49:00,1853.9,retail,debit,FR,43,5,1,20.0,0
TXN000142,2024-07-08T12:02:00,128.04,restaurant,credit,FR,64,13,1,8.0,0
TXN000143,2024-05-27T08:00:00,87.7,healthcare,digital_wallet,JP,56,18,0,18.5,0
TXN000144,2024-01-14T03:57:00,10.64,travel,debit,US,42,16,0,16.8,0
TXN000145,2024-08-17T16:50:00,16.34,grocery,digital_wallet,AU,38,16,1,0.7,0
TXN000146,2024-12-12T14:22:00,14.6,healthcare,digital_wallet,DE,56,1,0,11.2,0
TXN000147,2024-09-22T01:40:00,2.54,healthcare,debit,FR,48,6,1,3.8,0
TXN000148,2024-10-23T16:52:00,317.11,retail,debit,CA,64,6,0,20.9,0
TXN000149,2024-03-01T17:41:00,38.38,restaurant,debit,AU,74,16,1,28.1,0
TXN000150,2024-09-03T12:29:00,24.04,healthcare,digital_wallet,AU,29,23,0,9.7,0
TXN000151,2024-02-27T00:53:00,32.11,grocery,credit,UK,50,7,0,3.2,0
TXN000152,2024-11-08T02:01:00,78.64,travel,credit,JP,49,0,0,7.6,0
TXN000153,2024-08-20T18:45:00,224.26,travel,debit,US,57,12,0,1.7,0
TXN000154,2024-07-09T22:53:00,24.76,travel,debit,DE,45,17,0,39.1,0
TXN000155,2024-03-24T07:59:00,484.55,healthcare,digital_wallet,CA,53,3,0,20.5,0
TXN000156,2024-07-20T06:43:00,20.8,retail,debit,US,55,16,0,1.9,0
TXN000157,2024-06-19T10:20:00,734.79,restaurant,credit,DE,44,5,0,3.0,0
TXN000158,2024-08-23T17:37:00,24.41,travel,credit,DE,62,1,1,7.5,0
TXN000159,2024-08-17T16:59:00,11.94,restaurant,digital_wallet,UK,61,23,1,26.7,0
TXN000160,2024-10-10T14:24:00,1265.09,travel,digital_wallet,UK,72,4,0,6.3,0
TXN000161,2024-10-27T00:39:00,35.31,restaurant,debit,JP,27,20,1,0.4,0
TXN000162,2024-09-25T00:09:00,158.82,retail,digital_wallet,UK,76,11,1,42.1,0
TXN000163,2024-05-10T18:30:00,30.09,online,digital_wallet,DE,58,5,0,4.4,0
TXN000164,2024-01-12T22:08:00,1.99,travel,debit,UK,75,0,0,3.5,0
TXN000165,2024-05-25T11:10:00,95.79,restaurant,credit,UK,57,9,0,31.8,0
TXN000166,2024-02-21T17:23:00,219.9,retail,credit,AU,49,17,0,18.0,0
TXN000167,2024-10-10T10:34:00,43.24,healthcare,credit,FR,67,20,0,4.1,0
TXN000168,2024-12-22T19:21:00,17.32,online,debit,DE,43,0,0,14.7,0
TXN000169,2024-02-04T09:12:00,146.52,restaurant,credit,CA,64,8,0,0.0,0
TXN000170,2024-02-16T17:33:00,14.02,online,digital_wallet,CA,37,2,0,17.1,0
TXN000171,2024-03-18T12:46:00,7.81,grocery,debit,CA,52,10,0,8.4,0
TXN000172,2024-03-06T22:34:00,13.65,restaurant,digital_wallet,UK,37,15,0,28.5,0
TXN000173,2024-02-15T05:31:00,169.3,retail,digital_wallet,CA,66,4,0,8.3,0
TXN000174,2024-07-06T07:28:00,76.66,retail,credit,JP,23,21,1,23.4,0
TXN000175,2024-02-04T12:30:00,254.57,restaurant,debit,CA,76,21,0,6.9,0
TXN000176,2024-03-02T05:06:00,175.35,retail,debit,AU,76,9,1,7.6,0
TXN000177,2024-05-27T06:29:00,8.25,retail,credit,UK,59,15,0,7.9,0
TXN000178,2024-12-01T19:50:00,250.06,restaurant,credit,DE,39,3,0,9.8,0
TXN000179,2024-04-02T08:22:00,290.96,healthcare,digital_wallet,AU,24,22,1,3.6,0
TXN000180,2024-10-27T18:57:00,69.02,travel,debit,CA,69,2,1,8.8,0
TXN000181,2024-02-20T02:07:00,10.47,grocery,credit,FR,22,18,0,16.6,0
TXN000182,2024-02-25T02:28:00,291.91,healthcare,credit,UK,69,8,0,5.0,0
TXN000183,2024-02-08T22:16:00,7.71,online,digital_wallet,UK,24,18,1,12.2,0
TXN000184,2024-02-16T02:32:00,396.75,retail,debit,US,42,22,0,3.2,0
TXN000185,2024-12-08T05:02:00,106.56,healthcare,credit,US,62,15,0,14.9,0
TXN000186,2024-02-27T00:27:00,1984.04,restaurant,credit,UK,50,16,0,1.2,0
TXN000187,2024-07-08T23:26:00,139.54,retail,digital_wallet,US,52,22,0,7.0,0
TXN000188,2024-10-21T03:25:00,8.83,online,debit,DE,39,23,0,18.5,0
TXN000189,2024-06-11T06:33:00,3.07,grocery,digital_wallet,US,57,1,1,8.4,0
TXN000190,2024-02-08T15:55:00,56.3,travel,debit,AU,28,15,0,2.9,0
TXN000191,2024-01-05T06:49:00,5.92,healthcare,debit,CA,56,18,0,20.8,0
TXN000192,2024-12-14T05:42:00,46.28,grocery,debit,AU,62,15,0,49.9,0
TXN000193,2024-06-17T15:35:00,24.73,travel,credit,DE,42,6,0,0.1,0
TXN000194,2024-03-04T16:17:00,79.01,travel,debit,JP,68,17,0,10.7,0
TXN000195,2024-06-20T18:27:00,11.53,restaurant,credit,FR,80,16,0,1.2,0
TXN000196,2024-09-21T05:12:00,63.48,retail,credit,FR,45,23,1,8.4,0
TXN000197,2024-11-01T10:22:00,64.35,travel,credit,CA,60,14,0,11.4,0
TXN000198,2024-06-07T16:02:00,13.39,travel,credit,CA,52,22,0,8.4,0
TXN000199,2024-12-02T08:06:00,241.29,healthcare,credit,AU,72,1,0,9.4,0
TXN000200,2024-06-18T09:57:00,110.08,grocery,digital_wallet,CA,19,23,0,2.3,0
TXN000201,2024-03-13T01:35:00,17.2,healthcare,credit,FR,29,17,0,2.0,0
TXN000202,2024-11-23T10:25:00,9.69,online,debit,CA,61,16,0,1.5,0
TXN000203,2024-10-11T16:02:00,3.25,grocery,credit,JP,73,8,0,9.1,0
TXN000204,2024-11-23T09:04:00,5.07,online,debit,JP,76,3,1,26.3,0
TXN000205,2024-08-08T23:14:00,124.13,grocery,digital_wallet,JP,60,16,0,9.6,0
TXN000206,2024-05-27T05:22:00,102.24,healthcare,digital_wallet,US,54,18,0,8.8,0
TXN000207,2024-06-14T19:18:00,17.16,healthcare,debit,FR,49,9,0,27.4,0
TXN000208,2024-06-28T16:22:00,60.13,retail,credit,CA,39,18,1,1.7,0
TXN000209,2024-09-05T01:11:00,101.29,retail,debit,UK,30,16,0,2.0,0
TXN000210,2024-04-11T07:41:00,4.31,travel,debit,US,24,14,1,5.8,0
TXN000211,2024-08-28T10:35:00,4.92,online,digital_wallet,UK,72,17,0,34.1,0
TXN000212,2024-05-15T17:37:00,22.93,online,credit,US,39,6,0,20.4,0
TXN000213,2024-04-19T17:37:00,288.84,healthcare,digital_wallet,AU,52,23,1,0.1,0
TXN000214,2024-04-04T11:47:00,30.93,travel,digital_wallet,FR,53,20,0,6.4,0
TXN000215,2024-06-20T07:13:00,27.38,online,digital_wallet,FR,65,23,0,0.5,0
TXN000216,2024-07-24T00:26:00,89.26,retail,credit,DE,73,12,0,0.8,0
TXN000217,2024-08-22T13:59:00,129.62,restaurant,credit,US,54,14,0,1.9,0
TXN000218,2024-01-17T17:29:00,1.02,retail,debit,AU,33,11,1,40.8,0
TXN000219,2024-06-18T09:48:00,2.95,online,debit,JP,26,21,0,8.7,0
TXN000220,2024-09-18T19:02:00,172.86,healthcare,debit,UK,30,5,0,6.8,0
TXN000221,2024-09-28T21:52:00,93.71,travel,debit,AU,43,19,0,0.4,0
TXN000222,2024-09-20T01:10:00,16.2,healthcare,credit,JP,78,15,0,12.3,0
TXN000223,2024-09-11T18:59:00,324.61,restaurant,digital_wallet,JP,64,21,0,21.9,0
TXN000224,2024-10-03T13:37:00,51.75,online,digital_wallet,JP,72,0,1,10.6,0
TXN000225,2024-02-21T03:34:00,84.27,retail,digital_wallet,UK,41,20,1,3.3,0
TXN000226,2024-09-19T04:04:00,32.65,travel,credit,JP,48,11,0,1.6,0
TXN000227,2024-10-04T14:53:00,54.13,online,debit,AU,74,13,0,11.7,0
TXN000228,2024-06-26T17:54:00,22.23,healthcare,debit,AU,71,14,0,1.7,0
TXN000229,2024-08-04T04:07:00,64.66,retail,debit,FR,40,11,1,3.6,0
TXN000230,2024-09-15T22:21:00,40.96,grocery,digital_wallet,AU,36,4,0,4.9,0
TXN000231,2024-07-15T19:28:00,69.83,online,credit,DE,39,19,0,23.7,0
TXN000232,2024-11-20T08:19:00,23.73,retail,debit,AU,23,21,0,10.3,0
TXN000233,2024-08-08T07:52:00,8.56,travel,credit,US,39,17,0,2.3,0
TXN000234,2024-04-09T17:30:00,100.45,retail,credit,UK,79,15,1,8.8,0
TXN000235,2024-12-04T09:14:00,77.83,travel,digital_wallet,AU,35,0,1,3.6,0
TXN000236,2024-05-17T16:03:00,139.85,grocery,digital_wallet,UK,76,14,0,6.0,0
TXN000237,2024-09-25T22:10:00,159.66,retail,credit,JP,57,20,0,33.5,0
TXN000238,2024-11-03T09:22:00,218.9,restaurant,digital_wallet,AU,72,18,0,17.4,0
TXN000239,2024-04-28T16:45:00,145.91,travel,debit,JP,59,18,0,41.9,0
TXN000240,2024-06-03T16:25:00,55.72,retail,debit,US,34,0,0,2.1,0
TXN000241,2024-07-28T00:01:00,15.24,retail,credit,UK,40,17,0,22.8,0
TXN000242,2024-09-26T12:39:00,3199.02,online,credit,UK,22,0,0,23.4,0
TXN000243,2024-04-19T14:57:00,60.0,travel,credit,JP,34,2,1,10.0,0
TXN000244,2024-08-04T03:03:00,19.67,restaurant,debit,JP,62,4,0,4.9,0
TXN000245,2024-11-07T09:04:00,46.27,online,digital_wallet,AU,61,4,0,12.5,0
TXN000246,2024-07-12T14:34:00,32.91,retail,debit,DE,70,23,0,1.6,0
TXN000247,2024-05-02T03:14:00,45.05,healthcare,credit,DE,40,7,0,46.6,0
TXN000248,2024-06-02T07:28:00,10.8,retail,credit,UK,33,11,0,14.2,0
TXN000249,2024-01-17T12:29:00,158.97,healthcare,debit,US,25,19,1,10.2,0
TXN000250,2024-06-23T18:07:00,229.97,retail,credit,UK,49,13,0,15.7,0
TXN000251,2024-06-03T08:41:00,90.17,restaurant,credit,DE,67,1,1,7.0,0
TXN000252,2024-04-17T08:14:00,36.12,healthcare,debit,DE,22,2,1,11.8,0
TXN000253,2024-08-22T21:20:00,115.52,grocery,credit,JP,56,14,0,11.0,0
TXN000254,2024-10-01T01:04:00,439.39,grocery,credit,FR,24,18,0,0.3,0
TXN000255,2024-10-08T23:54:00,15.27,grocery,digital_wallet,UK,24,0,0,0.7,0
TXN000256,2024-01-18T15:19:00,637.73,retail,debit,UK,35,15,0,18.7,0
TXN000257,2024-01-02T18:13:00,31.78,grocery,debit,UK,32,17,0,9.9,0
TXN000258,2024-05-22T04:44:00,44.01,grocery,debit,FR,75,21,1,6.3,0
TXN000259,2024-02-23T21:35:00,490.71,restaurant,credit,CA,63,10,1,0.8,0
TXN000260,2024-09-08T07:39:00,188.33,restaurant,credit,CA,45,4,1,20.4,0
TXN000261,2024-10-04T09:44:00,171.62,retail,debit,UK,53,6,0,21.7,0
TXN000262,2024-07-06T23:46:00,13.31,travel,credit,JP,73,19,0,4.3,0
TXN000263,2024-05-21T09:00:00,38.06,travel,digital_wallet,CA,49,14,0,12.0,0
TXN000264,2024-07-18T15:43:00,24.22,online,digital_wallet,US,79,3,0,9.7,0
TXN000265,2024-10-14T12:21:00,288.84,restaurant,digital_wallet,DE,75,20,0,36.0,0
TXN000266,2024-12-18T14:08:00,188.0,online,debit,AU,47,20,1,15.8,0
TXN000267,2024-02-28T06:04:00,65.22,restaurant,credit,FR,42,1,0,1.7,0
TXN000268,2024-12-05T05:10:00,218.06,restaurant,debit,CA,37,12,0,10.5,0
TXN000269,2024-11-20T22:08:00,18.33,online,debit,FR,24,19,0,20.4,0
TXN000270,2024-09-09T08:37:00,341.61,online,debit,JP,55,8,0,16.9,0
TXN000271,2024-07-16T11:47:00,31.71,online,digital_wallet,JP,36,16,0,5.6,0
TXN000272,2024-12-01T19:50:00,131.27,travel,digital_wallet,FR,66,1,0,3.9,0
TXN000273,2024-04-07T21:46:00,8.52,retail,digital_wallet,DE,61,5,0,27.6,0
TXN000274,2024-12-19T10:20:00,11.33,grocery,debit,AU,66,19,0,1.5,0
TXN000275,2024-01-24T10:39:00,83.67,online,credit,CA,26,12,0,21.5,0
TXN000276,2024-02-20T15:24:00,84.25,online,digital_wallet,JP,66,7,1,8.0,0
TXN000277,2024-11-28T00:44:00,8.72,restaurant,credit,DE,77,10,1,6.0,0
TXN000278,2024-12-20T00:22:00,7.61,restaurant,debit,UK,45,6,0,4.9,0
TXN000279,2024-06-21T06:24:00,94.93,restaurant,debit,DE,61,12,0,7.4,0
TXN000280,2024-08-18T04:43:00,111.69,grocery,credit,DE,44,8,1,13.8,0
TXN000281,2024-08-12T04:16:00,186.73,online,digital_wallet,JP,41,0,0,10.5,0
TXN000282,2024-06-18T23:34:00,12.04,online,credit,UK,26,20,0,39.2,0
TXN000283,2024-11-17T18:01:00,57.68,grocery,debit,DE,47,9,1,7.3,0
TXN000284,2024-01-11T01:17:00,6.67,retail,digital_wallet,UK,54,2,0,2.1,0
TXN000285,2024-12-11T21:56:00,103.56,online,digital_wallet,DE,54,15,0,3.3,0
TXN000286,2024-10-19T08:13:00,192.82,restaurant,credit,CA,80,22,0,5.5,0
TXN000287,2024-08-07T01:40:00,513.89,online,credit,JP,71,19,0,22.0,0
TXN000288,2024-07-16T10:34:00,10.06,retail,digital_wallet,FR,56,0,0,12.4,0
TXN000289,2024-08-12T14:50:00,74.92,travel,credit,DE,74,1,0,4.7,0
TXN000290,2024-04-10T08:34:00,9.07,retail,debit,DE,64,3,0,39.0,0
TXN000291,2024-01-06T08:32:00,129.7,restaurant,digital_wallet,AU,50,2,1,20.2,0
TXN000292,2024-08-11T05:11:00,1.99,online,credit,CA,38,9,0,1.3,0
TXN000293,2024-02-04T15:38:00,197.76,online,digital_wallet,AU,41,3,0,4.3,0
TXN000294,2024-05-24T17:27:00,20.61,online,digital_wallet,US,62,1,1,23.8,0
TXN000295,2024-01-22T03:19:00,21.64,restaurant,digital_wallet,FR,28,23,1,3.6,0
TXN000296,2024-03-03T02:57:00,28.16,grocery,credit,DE,72,19,0,19.5,0
TXN000297,2024-08-16T23:09:00,6.07,travel,debit,CA,30,7,1,10.2,0
TXN000298,2024-10-10T12:01:00,37.51,grocery,credit,JP,50,17,0,3.0,0
TXN000299,2024-10-28T20:14:00,2.1,restaurant,digital_wallet,FR,34,15,0,31.5,0
TXN000300,2024-12-06T14:39:00,130.37,grocery,digital_wallet,DE,33,6,0,12.5,0
TXN000301,2024-08-22T11:03:00,60.16,online,digital_wallet,UK,62,16,0,19.3,0
TXN000302,2024-02-21T06:53:00,29.64,retail,debit,DE,63,12,0,24.4,0
TXN000303,2024-04-23T07:39:00,6.37,healthcare,debit,FR,53,13,1,0.5,0
